Tabel 2.  Gemiddeld aantal personenauto's per huishouden naar wijk, 1 januari 2023;;;;;
;;;;;
Wijknaam  ;Wijkcode ;Gemeentenaam;Gemeentecode ;Personenauto's per huishouden (afgerond);
Bouwmeesterbuurt;WK003445  ;Almere                                  ;GM0034;0,9;
Landgoederenbuurt;WK003446  ;Almere                                  ;GM0034;1,0;
Faunabuurt;WK003447  ;Almere                                  ;GM0034;1,0;
Bloemenbuurt;WK003448  ;Almere                                  ;GM0034;0,9;
Regenboogbuurt;WK003449  ;Almere                                  ;GM0034;1,0;
Indischebuurt;WK003450  ;Almere                                  ;GM0034;0,8;
Eilandenbuurt;WK003451  ;Almere                                  ;GM0034;1,1;
Stripheldenbuurt;WK003452  ;Almere                                  ;GM0034;1,1;
Sieradenbuurt;WK003453  ;Almere                                  ;GM0034;1,3;
Poldervlak;WK003456  ;Almere                                  ;GM0034;.;
De Vaart;WK003457  ;Almere                                  ;GM0034;.;
Buitenvaart;WK003458  ;Almere                                  ;GM0034;1,0;
Overig Almere Buiten;WK003459  ;Almere                                  ;GM0034;.;
Europakwartier Oost;WK003460  ;Almere                                  ;GM0034;0,7;
Europakwartier West;WK003461  ;Almere                                  ;GM0034;0,8;
Columbuskwartier;WK003462  ;Almere                                  ;GM0034;0,9;
Homeruskwartier;WK003463  ;Almere                                  ;GM0034;1,0;
Olympiakwartier Oost;WK003464  ;Almere                                  ;GM0034;.;
Olympiakwartier West;WK003465  ;Almere                                  ;GM0034;0,9;
Duin;WK003466  ;Almere                                  ;GM0034;1,0;
Hogekant;WK003471  ;Almere                                  ;GM0034;.;
Middenkant;WK003472  ;Almere                                  ;GM0034;.;
Lagekant;WK003473  ;Almere                                  ;GM0034;.;
Overig Almere Poort;WK003474  ;Almere                                  ;GM0034;.;
Vogelhorst;WK003475  ;Almere                                  ;GM0034;1,5;
Nobelhorst;WK003476  ;Almere                                  ;GM0034;1,2;
Oosterwold;WK003477  ;Almere                                  ;GM0034;1,2;
Twentsekant;WK003479  ;Almere                                  ;GM0034;.;
Overig Almere Hout;WK003485  ;Almere                                  ;GM0034;.;
Overig Almere Pampus;WK003496  ;Almere                                  ;GM0034;.;
Stadskanaal;WK003701  ;Stadskanaal                             ;GM0037;1,1;
Musselkanaal;WK003702  ;Stadskanaal                             ;GM0037;1,2;
Onstwedde;WK003703  ;Stadskanaal                             ;GM0037;1,3;
Mussel;WK003704  ;Stadskanaal                             ;GM0037;1,5;
Alteveer;WK003705  ;Stadskanaal                             ;GM0037;1,4;
Wijk 00 Veendam-kern;WK004700  ;Veendam                                 ;GM0047;1,1;
Wijk 01 Veendam-buitengebied;WK004701  ;Veendam                                 ;GM0047;1,5;
Wijk 02 Wildervank;WK004702  ;Veendam                                 ;GM0047;1,3;
Wijk 00;WK005000  ;Zeewolde                                ;GM0050;1,2;
Wijk 00 Noord;WK005900  ;Achtkarspelen                           ;GM0059;1,2;
Wijk 01 Centrum;WK005901  ;Achtkarspelen                           ;GM0059;1,4;
Wijk 02 Zuid;WK005902  ;Achtkarspelen                           ;GM0059;1,2;
Wijk 00;WK006000  ;Ameland                                 ;GM0060;1,0;
Wijk 00 Harlingen;WK007200  ;Harlingen                               ;GM0072;0,9;
Wijk 01 Midlum;WK007201  ;Harlingen                               ;GM0072;1,1;
Wijk 02 Wijnaldum;WK007202  ;Harlingen                               ;GM0072;1,3;
Wijk 01 Heerenveen;WK007401  ;Heerenveen                              ;GM0074;0,9;
Wijk 02 Noord-Heerenveen;WK007402  ;Heerenveen                              ;GM0074;1,5;
Wijk 03 Hoornsterzwaag;WK007403  ;Heerenveen                              ;GM0074;1,4;
Wijk 04 Jubbega;WK007404  ;Heerenveen                              ;GM0074;1,3;
Wijk 06 Oranjewoud;WK007406  ;Heerenveen                              ;GM0074;1,3;
Skarsterlân;WK007407  ;Heerenveen                              ;GM0074;1,3;
Boarnsterhim;WK007409  ;Heerenveen                              ;GM0074;1,2;
Binnenstad;WK008010  ;Leeuwarden                              ;GM0080;0,3;
Potmargezone;WK008011  ;Leeuwarden                              ;GM0080;0,6;
Oud-Oost;WK008020  ;Leeuwarden                              ;GM0080;0,6;
Sonnenborgh e.o.;WK008030  ;Leeuwarden                              ;GM0080;0,7;
Westeinde e.o.;WK008031  ;Leeuwarden                              ;GM0080;0,9;
Vossepark & Helicon;WK008032  ;Leeuwarden                              ;GM0080;0,9;
Huizum-West;WK008040  ;Leeuwarden                              ;GM0080;0,7;
Nijlân & De Zwette;WK008041  ;Leeuwarden                              ;GM0080;0,7;
Heechterp & Schieringen;WK008050  ;Leeuwarden                              ;GM0080;0,5;
Camminghaburen e.o.;WK008051  ;Leeuwarden                              ;GM0080;1,0;
Bilgaard & Havankpark e.o.;WK008060  ;Leeuwarden                              ;GM0080;0,6;
Vrijheidswijk;WK008061  ;Leeuwarden                              ;GM0080;0,7;
Dokkumer Ie e.o.;WK008062  ;Leeuwarden                              ;GM0080;1,2;
Stiens e.o.;WK008063  ;Leeuwarden                              ;GM0080;1,2;
Aldlân & De Hemrik;WK008070  ;Leeuwarden                              ;GM0080;0,9;
Goutum;WK008071  ;Leeuwarden                              ;GM0080;1,2;
Hempens/Teerns & Zuiderburen;WK008072  ;Leeuwarden                              ;GM0080;1,3;
De Zuidlanden;WK008073  ;Leeuwarden                              ;GM0080;1,2;
Middelsee;WK008074  ;Leeuwarden                              ;GM0080;0,8;
Dorpen Zuid-Oost;WK008080  ;Leeuwarden                              ;GM0080;1,3;
Dorpen Zuid-West;WK008081  ;Leeuwarden                              ;GM0080;1,3;
Grou e.o.;WK008082  ;Leeuwarden                              ;GM0080;1,1;
Appelscha;WK008501  ;Ooststellingwerf                        ;GM0085;1,2;
Donkerbroek;WK008502  ;Ooststellingwerf                        ;GM0085;1,4;
Elsloo;WK008503  ;Ooststellingwerf                        ;GM0085;1,4;
Fochteloo;WK008504  ;Ooststellingwerf                        ;GM0085;1,7;
Haule;WK008505  ;Ooststellingwerf                        ;GM0085;1,6;
Haulerwijk;WK008506  ;Ooststellingwerf                        ;GM0085;1,3;
Langedijke;WK008507  ;Ooststellingwerf                        ;GM0085;1,5;
Makkinga;WK008508  ;Ooststellingwerf                        ;GM0085;1,5;
Nijeberkoop;WK008509  ;Ooststellingwerf                        ;GM0085;1,4;
Oldeberkoop;WK008510  ;Ooststellingwerf                        ;GM0085;1,4;
Oosterwolde;WK008511  ;Ooststellingwerf                        ;GM0085;1,1;
Ravenswoud;WK008512  ;Ooststellingwerf                        ;GM0085;1,5;
Waskemeer;WK008513  ;Ooststellingwerf                        ;GM0085;1,4;
Bakkeveen;WK008601  ;Opsterland                              ;GM0086;1,4;
Beetsterzwaag;WK008602  ;Opsterland                              ;GM0086;1,2;
Frieschepalen;WK008604  ;Opsterland                              ;GM0086;1,5;
Gorredijk;WK008605  ;Opsterland                              ;GM0086;1,1;
Hemrik;WK008606  ;Opsterland                              ;GM0086;1,5;
Jonkerslân;WK008607  ;Opsterland                              ;GM0086;1,7;
Langezwaag;WK008608  ;Opsterland                              ;GM0086;1,5;
Lippenhuizen;WK008609  ;Opsterland                              ;GM0086;1,4;
Luxwoude;WK008610  ;Opsterland                              ;GM0086;1,6;
Nij Beets;WK008611  ;Opsterland                              ;GM0086;1,4;
Siegerswoude;WK008613  ;Opsterland                              ;GM0086;1,6;
Terwispel;WK008614  ;Opsterland                              ;GM0086;1,5;
Tijnje;WK008615  ;Opsterland                              ;GM0086;1,4;
Ureterp;WK008616  ;Opsterland                              ;GM0086;1,3;
Wijnjewoude;WK008617  ;Opsterland                              ;GM0086;1,4;
Wijk 00;WK008800  ;Schiermonnikoog                         ;GM0088;0,6;
Wijk 00 Drachten;WK009000  ;Smallingerland                          ;GM0090;1,0;
Wijk 01 Overig Smallingerland;WK009001  ;Smallingerland                          ;GM0090;1,4;
Wijk 00 West-Terschelling;WK009300  ;Terschelling                            ;GM0093;0,8;
Wijk 01 Midsland;WK009301  ;Terschelling                            ;GM0093;1,1;
Wijk 02 Formerum;WK009302  ;Terschelling                            ;GM0093;1,3;
Wijk 03 Lies;WK009303  ;Terschelling                            ;GM0093;1,4;
Wijk 04 Hoorn;WK009304  ;Terschelling                            ;GM0093;1,3;
Wijk 05 Oosterend;WK009305  ;Terschelling                            ;GM0093;0,9;
Wijk 00;WK009600  ;Vlieland                                ;GM0096;0,6;
Wolvega;WK009800  ;Weststellingwerf                        ;GM0098;1,1;
De Wolden-Ter Idzard;WK009801  ;Weststellingwerf                        ;GM0098;1,5;
De Lamers;WK009802  ;Weststellingwerf                        ;GM0098;1,6;
Lange-Nije-Munk;WK009803  ;Weststellingwerf                        ;GM0098;1,6;
Scherpenzeel-Spanga;WK009804  ;Weststellingwerf                        ;GM0098;1,6;
Oldetrijne-Sonnega;WK009805  ;Weststellingwerf                        ;GM0098;1,5;
Blesdijke;WK009806  ;Weststellingwerf                        ;GM0098;1,4;
De Blesse-Peperga;WK009807  ;Weststellingwerf                        ;GM0098;1,4;
Steggerda;WK009808  ;Weststellingwerf                        ;GM0098;1,4;
De Hoeve-Vinkega;WK009809  ;Weststellingwerf                        ;GM0098;1,7;
Noordwolde;WK009810  ;Weststellingwerf                        ;GM0098;1,2;
Oosterstreek;WK009811  ;Weststellingwerf                        ;GM0098;1,5;
Zandhuizen;WK009812  ;Weststellingwerf                        ;GM0098;1,3;
Boijl;WK009813  ;Weststellingwerf                        ;GM0098;1,4;
Nijeholtpade;WK009814  ;Weststellingwerf                        ;GM0098;1,6;
Oldeholtpade;WK009815  ;Weststellingwerf                        ;GM0098;1,5;
Centrum;WK010600  ;Assen                                   ;GM0106;0,7;
Lariks;WK010601  ;Assen                                   ;GM0106;0,7;
Noorderpark;WK010602  ;Assen                                   ;GM0106;0,8;
Assen-Oost;WK010603  ;Assen                                   ;GM0106;0,9;
Pittelo;WK010604  ;Assen                                   ;GM0106;1,0;
Assen-West;WK010605  ;Assen                                   ;GM0106;1,0;
Peelo;WK010606  ;Assen                                   ;GM0106;1,1;
Marsdijk;WK010607  ;Assen                                   ;GM0106;1,2;
Kloosterveen;WK010608  ;Assen                                   ;GM0106;1,3;
Buitengebied;WK010699  ;Assen                                   ;GM0106;1,4;
Wijk 10 Coevorden;WK010910  ;Coevorden                               ;GM0109;1,1;
Wijk 11 Steenwijksmoer;WK010911  ;Coevorden                               ;GM0109;1,4;
Wijk 12 Nieuwe Krim;WK010912  ;Coevorden                               ;GM0109;1,4;
Wijk 13 Weijerswold;WK010913  ;Coevorden                               ;GM0109;.;
Wijk 14 Vlieghuis en Padhuis;WK010914  ;Coevorden                               ;GM0109;.;
Wijk 20 Dalen;WK010920  ;Coevorden                               ;GM0109;1,4;
Wijk 30 Oosterhesselen;WK010930  ;Coevorden                               ;GM0109;1,4;
Wijk 40 Sleen;WK010940  ;Coevorden                               ;GM0109;1,3;
Wijk 50 Zweeloo;WK010950  ;Coevorden                               ;GM0109;1,4;
Wijk 01 Nieuw-Weerdinge;WK011401  ;Emmen                                   ;GM0114;1,3;
Wijk 02 Roswinkel;WK011402  ;Emmen                                   ;GM0114;1,5;
Wijk 03 Emmer-Compascuum;WK011403  ;Emmen                                   ;GM0114;1,3;
Wijk 04 Barger-Compascuum;WK011404  ;Emmen                                   ;GM0114;1,3;
Wijk 05 Nieuw-Dordrecht;WK011405  ;Emmen                                   ;GM0114;1,4;
Wijk 06 Nieuw-Amsterdam;WK011406  ;Emmen                                   ;GM0114;1,3;
Wijk 07 Erica;WK011407  ;Emmen                                   ;GM0114;1,3;
Wijk 08 Klazienaveen;WK011408  ;Emmen                                   ;GM0114;1,2;
Wijk 09 Zwartemeer;WK011409  ;Emmen                                   ;GM0114;1,3;
Wijk 10 Schoonebeek;WK011410  ;Emmen                                   ;GM0114;1,3;
Wijk 13 Veenoord;WK011413  ;Emmen                                   ;GM0114;1,2;
Wijk 21 Nieuw-Schoonebeek;WK011421  ;Emmen                                   ;GM0114;1,4;
Wijk 32 Weiteveen;WK011432  ;Emmen                                   ;GM0114;1,3;
Wijk 40 Emmen-Centrum;WK011440  ;Emmen                                   ;GM0114;0,7;
Wijk 41 Emmen-Centrum Oost;WK011441  ;Emmen                                   ;GM0114;0,9;
Wijk 42 Emmermeer;WK011442  ;Emmen                                   ;GM0114;0,9;
Wijk 43 Angelslo;WK011443  ;Emmen                                   ;GM0114;0,8;
Wijk 44 Emmerhout;WK011444  ;Emmen                                   ;GM0114;0,9;
Wijk 45 Emmerschans;WK011445  ;Emmen                                   ;GM0114;1,1;
Wijk 46 Bargeres;WK011446  ;Emmen                                   ;GM0114;1,0;
Wijk 47 Rietlanden;WK011447  ;Emmen                                   ;GM0114;1,2;
Wijk 48 Parc Sandur;WK011448  ;Emmen                                   ;GM0114;1,3;
Wijk 49 Delftlanden;WK011449  ;Emmen                                   ;GM0114;1,4;
Wijk 50 Barger-Oosterveld;WK011450  ;Emmen                                   ;GM0114;1,4;
Wijk 51 Kern Emmen Noord;WK011451  ;Emmen                                   ;GM0114;1,4;
Wijk 52 Kern Emmen Zuid;WK011452  ;Emmen                                   ;GM0114;1,5;
Wijk 53 Kern Emmen Industrieterreinen;WK011453  ;Emmen                                   ;GM0114;.;
Wijk 50 Hoogeveen;WK011850  ;Hoogeveen                               ;GM0118;0,9;
Wijk 51 De Weide;WK011851  ;Hoogeveen                               ;GM0118;1,2;
Wijke 52 Fluitenberg;WK011852  ;Hoogeveen                               ;GM0118;1,5;
Wijk 53 Elim;WK011853  ;Hoogeveen                               ;GM0118;1,4;
Wijk 54 Hollandscheveld;WK011854  ;Hoogeveen                               ;GM0118;1,3;
Wijk 55 Noordscheschut;WK011855  ;Hoogeveen                               ;GM0118;1,3;
Wijk 56 Nieuwlande;WK011856  ;Hoogeveen                               ;GM0118;1,4;
Wijk 57 Nieuweroord;WK011857  ;Hoogeveen                               ;GM0118;1,4;
Wijk 58 Tiendeveen;WK011858  ;Hoogeveen                               ;GM0118;1,5;
Wijk 59 Stuifzand;WK011859  ;Hoogeveen                               ;GM0118;1,4;
Wijk 60 Pesse;WK011860  ;Hoogeveen                               ;GM0118;1,3;
Wijk 61 Zuideropgaande Nieuw Moscou;WK011861  ;Hoogeveen                               ;GM0118;1,6;
Wijk 62 Industrie- en verspr. gebieden;WK011862  ;Hoogeveen                               ;GM0118;1,8;
Centrum;WK011900  ;Meppel                                  ;GM0119;0,8;
Watertoren;WK011901  ;Meppel                                  ;GM0119;1,0;
Haveltermade;WK011902  ;Meppel                                  ;GM0119;0,8;
Koedijkslanden;WK011903  ;Meppel                                  ;GM0119;0,9;
Berggierslanden;WK011904  ;Meppel                                  ;GM0119;1,4;
Ezinge;WK011905  ;Meppel                                  ;GM0119;0,8;
Oosterboer;WK011906  ;Meppel                                  ;GM0119;1,2;
Nieuwveenselanden;WK011907  ;Meppel                                  ;GM0119;1,2;
Blankenstein;WK011908  ;Meppel                                  ;GM0119;0,1;
Industrieterrein Noord;WK011909  ;Meppel                                  ;GM0119;.;
Industrie Oevers;WK011910  ;Meppel                                  ;GM0119;1,0;
Verspreid gebied Meppel;WK011911  ;Meppel                                  ;GM0119;.;
Nijeveen;WK011912  ;Meppel                                  ;GM0119;1,3;
Rogat;WK011913  ;Meppel                                  ;GM0119;1,4;
Binnenstad;WK014110  ;Almelo                                  ;GM0141;0,7;
De Riet;WK014111  ;Almelo                                  ;GM0141;0,9;
Noorderkwartier;WK014112  ;Almelo                                  ;GM0141;1,1;
Sluitersveld;WK014113  ;Almelo                                  ;GM0141;1,0;
Wierdense Hoek;WK014114  ;Almelo                                  ;GM0141;0,9;
Nieuwstraat-Kwartier;WK014115  ;Almelo                                  ;GM0141;0,8;
Ossenkoppelerhoek;WK014116  ;Almelo                                  ;GM0141;0,8;
Hofkamp;WK014117  ;Almelo                                  ;GM0141;1,1;
Schelfhorst;WK014118  ;Almelo                                  ;GM0141;1,1;
Windmolenbroek;WK014119  ;Almelo                                  ;GM0141;1,2;
Aadorp;WK014120  ;Almelo                                  ;GM0141;1,5;
Bornerbroek;WK014121  ;Almelo                                  ;GM0141;1,5;
Wijk 00 Borne;WK014700  ;Borne                                   ;GM0147;1,1;
Wijk 01 Buitengebied Borne;WK014701  ;Borne                                   ;GM0147;1,5;
Dalfsen;WK014801  ;Dalfsen                                 ;GM0148;1,3;
Nieuwleusen;WK014802  ;Dalfsen                                 ;GM0148;1,4;
Lemelerveld;WK014803  ;Dalfsen                                 ;GM0148;1,4;
Binnenstad;WK015001  ;Deventer                                ;GM0150;0,6;
De Hoven;WK015002  ;Deventer                                ;GM0150;1,0;
Zandweerd;WK015003  ;Deventer                                ;GM0150;0,8;
Voorstad;WK015004  ;Deventer                                ;GM0150;0,7;
Borgele en Platvoet;WK015005  ;Deventer                                ;GM0150;0,8;
Keizerslanden;WK015006  ;Deventer                                ;GM0150;0,8;
Rivierenwijk en Bergweide;WK015007  ;Deventer                                ;GM0150;0,7;
Colmschate-Noord;WK015008  ;Deventer                                ;GM0150;1,0;
Colmschate-Vijfhoek;WK015009  ;Deventer                                ;GM0150;1,2;
Colmschate-Zuid;WK015010  ;Deventer                                ;GM0150;1,1;
Diepenveen;WK015011  ;Deventer                                ;GM0150;1,2;
Schalkhaar;WK015012  ;Deventer                                ;GM0150;1,2;
Okkenbroek;WK015013  ;Deventer                                ;GM0150;1,4;
Lettele;WK015014  ;Deventer                                ;GM0150;1,5;
Bathmen;WK015015  ;Deventer                                ;GM0150;1,3;
Wijk 00 Binnensingelgebied;WK015300  ;Enschede                                ;GM0153;0,5;
Wijk 01 Hogeland - Velve;WK015301  ;Enschede                                ;GM0153;0,9;
Wijk 02 Boswinkel - Stadsveld;WK015302  ;Enschede                                ;GM0153;0,8;
Wijk 03 Twekkelerveld - T.H.T.;WK015303  ;Enschede                                ;GM0153;0,7;
Wijk 04 Enschede-Noord;WK015304  ;Enschede                                ;GM0153;0,6;
Wijk 05 Ribbelt - Stokhorst;WK015305  ;Enschede                                ;GM0153;0,9;
Wijk 06 Enschede-Zuid;WK015306  ;Enschede                                ;GM0153;0,9;
Wijk 07 Bedrijfsterreinen Enschede-West;WK015307  ;Enschede                                ;GM0153;1,0;
Wijk 08 Glanerbrug en omgeving;WK015308  ;Enschede                                ;GM0153;1,1;
Wijk 09 Landelijk gebied en kernen;WK015309  ;Enschede                                ;GM0153;1,3;
Wijk 00 Haaksbergen (dorp);WK015800  ;Haaksbergen                             ;GM0158;1,2;
Wijk 01 Haaksbergen (buitengebied);WK015801  ;Haaksbergen                             ;GM0158;1,5;
Wijk 02 Sint Isidorushoeve;WK015802  ;Haaksbergen                             ;GM0158;1,6;
Wijk 03 Buurse;WK015803  ;Haaksbergen                             ;GM0158;1,4;
Wijk 04 Rietmolen;WK015804  ;Haaksbergen                             ;GM0158;1,2;
Wijk 05 Hengevelde;WK015805  ;Haaksbergen                             ;GM0158;.;
Wijk 06 Beckum;WK015806  ;Haaksbergen                             ;GM0158;1,6;
Wijk 09 Haaksbergen-kern;WK015809  ;Haaksbergen                             ;GM0158;1,0;
Ane;WK016001  ;Hardenberg                              ;GM0160;1,6;
Anerveen;WK016002  ;Hardenberg                              ;GM0160;1,4;
Anevelde;WK016003  ;Hardenberg                              ;GM0160;.;
Balkbrug;WK016004  ;Hardenberg                              ;GM0160;1,5;
Bergentheim;WK016005  ;Hardenberg                              ;GM0160;1,4;
Brucht;WK016006  ;Hardenberg                              ;GM0160;1,7;
Collendoorn;WK016007  ;Hardenberg                              ;GM0160;1,4;
De Krim;WK016008  ;Hardenberg                              ;GM0160;1,4;
Dedemsvaart;WK016009  ;Hardenberg                              ;GM0160;1,3;
Den Velde;WK016010  ;Hardenberg                              ;GM0160;1,4;
Diffelen;WK016011  ;Hardenberg                              ;GM0160;1,4;
Gramsbergen;WK016012  ;Hardenberg                              ;GM0160;1,3;
Heemserveen;WK016013  ;Hardenberg                              ;GM0160;1,7;
Holtheme;WK016014  ;Hardenberg                              ;GM0160;1,6;
Holthone;WK016015  ;Hardenberg                              ;GM0160;.;
Hoogenweg;WK016016  ;Hardenberg                              ;GM0160;1,7;
Kloosterhaar;WK016017  ;Hardenberg                              ;GM0160;1,4;
Loozen;WK016018  ;Hardenberg                              ;GM0160;1,5;
Lutten;WK016019  ;Hardenberg                              ;GM0160;1,4;
Marienberg;WK016020  ;Hardenberg                              ;GM0160;1,7;
Radewijk;WK016021  ;Hardenberg                              ;GM0160;1,7;
Rheeze;WK016022  ;Hardenberg                              ;GM0160;1,4;
Rheezerveen;WK016023  ;Hardenberg                              ;GM0160;1,5;
Schuinesloot;WK016024  ;Hardenberg                              ;GM0160;1,5;
Sibculo;WK016025  ;Hardenberg                              ;GM0160;1,6;
Slagharen;WK016026  ;Hardenberg                              ;GM0160;1,3;
Venebrugge;WK016027  ;Hardenberg                              ;GM0160;.;
Hardenberg;WK016028  ;Hardenberg                              ;GM0160;1,1;
Bruchterveld;WK016029  ;Hardenberg                              ;GM0160;1,5;
Wijk 01 Hellendoorn;WK016301  ;Hellendoorn                             ;GM0163;1,3;
Wijk 02 Nijverdal Noord;WK016302  ;Hellendoorn                             ;GM0163;1,3;
Wijk 03 Nijverdal West;WK016303  ;Hellendoorn                             ;GM0163;1,1;
Wijk 04 Nijverdal Oost;WK016304  ;Hellendoorn                             ;GM0163;1,1;
Wijk 05 Buitengebied;WK016305  ;Hellendoorn                             ;GM0163;1,5;
Wijk 06 Kruidenwijk;WK016306  ;Hellendoorn                             ;GM0163;1,3;
Wijk 07 Haarle;WK016307  ;Hellendoorn                             ;GM0163;1,3;
Wijk 08 Daarle;WK016308  ;Hellendoorn                             ;GM0163;1,5;
Wijk 09 Daarlerveen;WK016309  ;Hellendoorn                             ;GM0163;1,3;
Wijk 00 Binnenstad;WK016400  ;Hengelo                                 ;GM0164;0,7;
Wijk 01 Hengelose Es;WK016401  ;Hengelo                                 ;GM0164;1,0;
Wijk 02 Noord;WK016402  ;Hengelo                                 ;GM0164;0,8;
Wijk 03 Hasseler Es;WK016403  ;Hengelo                                 ;GM0164;1,1;
Wijk 04 Groot Driene;WK016404  ;Hengelo                                 ;GM0164;0,9;
Wijk 05 Berflo Es;WK016405  ;Hengelo                                 ;GM0164;0,8;
Wijk 06 Wilderinkshoek;WK016406  ;Hengelo                                 ;GM0164;1,0;
Wijk 07 Woolde;WK016407  ;Hengelo                                 ;GM0164;0,9;
Wijk 08 Slangenbeek;WK016408  ;Hengelo                                 ;GM0164;1,3;
Wijk 09 Buitengebied;WK016409  ;Hengelo                                 ;GM0164;1,4;
Kampen;WK016600  ;Kampen                                  ;GM0166;1,0;
Reeve;WK016602  ;Kampen                                  ;GM0166;.;
IJsselmuiden;WK016603  ;Kampen                                  ;GM0166;1,2;
Zalk;WK016604  ;Kampen                                  ;GM0166;1,6;
Wilsum;WK016605  ;Kampen                                  ;GM0166;1,3;
Grafhorst;WK016606  ;Kampen                                  ;GM0166;1,3;
Kamperveen;WK016607  ;Kampen                                  ;GM0166;1,4;
s-Heerenbroek;WK016608  ;Kampen                                  ;GM0166;1,4;
Mastenbroek;WK016609  ;Kampen                                  ;GM0166;.;
Wijk 00 Losser;WK016800  ;Losser                                  ;GM0168;1,2;
Wijk 01 Glane;WK016801  ;Losser                                  ;GM0168;1,3;
Wijk 02 Overdinkel;WK016802  ;Losser                                  ;GM0168;1,2;
Wijk 03 De Lutte;WK016803  ;Losser                                  ;GM0168;1,4;
Wijk 04 Beuningen;WK016804  ;Losser                                  ;GM0168;1,4;
Wijk 01 Emmeloord;WK017101  ;Noordoostpolder                         ;GM0171;1,1;
